"Name","Art","Fläche","Kurzname"
"Zürich","Siedlung",37791,"ZH"
"Bern","Siedlung",41198,"BE"
"Luzern","Siedlung",14385,"LU"
"Uri","Siedlung",1997,"UR"
"Schwyz","Siedlung",5502,"SZ"
"Obwalden","Siedlung",1879,"OW"
"Nidwalden","Siedlung",1482,"NW"
"Glarus","Siedlung",1995,"GL"
"Zug","Siedlung",3306,"ZG"
"Fribourg","Siedlung",13995,"FR"
"Solothurn","Siedlung",10955,"SO"
"Basel-Stadt","Siedlung",2628,"BS"
"Basel-Landschaft","Siedlung",9024,"BL"
"Schaffhausen","Siedlung",3402,"SH"
"Appenzell Ausserrhoden","Siedlung",2231,"AR"
"Appenzell Innerrhoden","Siedlung",815,"AI"
"St. Gallen","Siedlung",19402,"SG"
"Graubünden","Siedlung",NA,"GR"
"Aargau","Siedlung",23855,"AG"
"Thurgau","Siedlung",12174,"TG"
"Ticino","Siedlung",15881,"TI"
"Vaud","Siedlung",29943,"VD"
"Valais","Siedlung",18463,"VS"
"Neuchâtel","Siedlung",6701,"NE"
"Genève","Siedlung",9415,"GE"
"Jura","Siedlung",5615,"JU"
"Zürich","Landwirtschaft",72018,"ZH"
"Bern","Landwirtschaft",253738,"BE"
"Luzern","Landwirtschaft",79827,"LU"
"Uri","Landwirtschaft",26023,"UR"
"Schwyz","Landwirtschaft",36825,"SZ"
"Obwalden","Landwirtschaft",18083,"OW"
"Nidwalden","Landwirtschaft",10219,"NW"
"Glarus","Landwirtschaft",20584,"GL"
"Zug","Landwirtschaft",10365,"ZG"
"Fribourg","Landwirtschaft",94031,"FR"
"Solothurn","Landwirtschaft",33439,"SO"
"Basel-Stadt","Landwirtschaft",449,"BS"
"Basel-Landschaft","Landwirtschaft",20968,"BL"
"Schaffhausen","Landwirtschaft",13100,"SH"
"Appenzell Ausserrhoden","Landwirtschaft",13313,"AR"
"Appenzell Innerrhoden","Landwirtschaft",9265,"AI"
"St. Gallen","Landwirtschaft",94416,"SG"
"Graubünden","Landwirtschaft",NA,"GR"
"Aargau","Landwirtschaft",61854,"AG"
"Thurgau","Landwirtschaft",51497,"TG"
"Ticino","Landwirtschaft",36406,"TI"
"Vaud","Landwirtschaft",136216,"VD"
"Valais","Landwirtschaft",99201,"VS"
"Neuchâtel","Landwirtschaft",33450,"NE"
"Genève","Landwirtschaft",11162,"GE"
"Jura","Landwirtschaft",40867,"JU"
"Zürich","Bestockt",52476,"ZH"
"Bern","Bestockt",186707,"BE"
"Luzern","Bestockt",44703,"LU"
"Uri","Bestockt",21633,"UR"
"Schwyz","Bestockt",30634,"SZ"
"Obwalden","Bestockt",19966,"OW"
"Nidwalden","Bestockt",9194,"NW"
"Glarus","Bestockt",21128,"GL"
"Zug","Bestockt",6527,"ZG"
"Fribourg","Bestockt",45043,"FR"
"Solothurn","Bestockt",33792,"SO"
"Basel-Stadt","Bestockt",462,"BS"
"Basel-Landschaft","Bestockt",21390,"BL"
"Schaffhausen","Bestockt",12941,"SH"
"Appenzell Ausserrhoden","Bestockt",8379,"AR"
"Appenzell Innerrhoden","Bestockt",5514,"AI"
"St. Gallen","Bestockt",61915,"SG"
"Graubünden","Bestockt",NA,"GR"
"Aargau","Bestockt",51089,"AG"
"Thurgau","Bestockt",21220,"TG"
"Ticino","Bestockt",142568,"TI"
"Vaud","Bestockt",103247,"VD"
"Valais","Bestockt",125263,"VS"
"Neuchâtel","Bestockt",30871,"NE"
"Genève","Bestockt",3506,"GE"
"Jura","Bestockt",36505,"JU"
"Zürich","Unproduktiv",10604,"ZH"
"Bern","Unproduktiv",114264,"BE"
"Luzern","Unproduktiv",10427,"LU"
"Uri","Unproduktiv",57987,"UR"
"Schwyz","Unproduktiv",17848,"SZ"
"Obwalden","Unproduktiv",9127,"OW"
"Nidwalden","Unproduktiv",6711,"NW"
"Glarus","Unproduktiv",24833,"GL"
"Zug","Unproduktiv",3674,"ZG"
"Fribourg","Unproduktiv",14015,"FR"
"Solothurn","Unproduktiv",865,"SO"
"Basel-Stadt","Unproduktiv",168,"BS"
"Basel-Landschaft","Unproduktiv",370,"BL"
"Schaffhausen","Unproduktiv",407,"SH"
"Appenzell Ausserrhoden","Unproduktiv",371,"AR"
"Appenzell Innerrhoden","Unproduktiv",1656,"AI"
"St. Gallen","Unproduktiv",26812,"SG"
"Graubünden","Unproduktiv",NA,"GR"
"Aargau","Unproduktiv",3581,"AG"
"Thurgau","Unproduktiv",14196,"TG"
"Ticino","Unproduktiv",86391,"TI"
"Vaud","Unproduktiv",51799,"VD"
"Valais","Unproduktiv",279515,"VS"
"Neuchâtel","Unproduktiv",9284,"NE"
"Genève","Unproduktiv",4161,"GE"
"Jura","Unproduktiv",894,"JU"
"Graubünden","Unbestimmt",710544,"GR"
